# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, first year quoted = 100).
#
# 556 series across 60 commodity blocks, each block a commodity quoted in a set of
# towns. Annual, 1860-1866. Blank cells are printed "..." in the source: most often
# a town whose series begins in 1861 rather than 1860.
#
# THE 1867 AND 1868 COLUMNS APPLY ONLY TO RENTS. Mitchell's note to the table: "In
# the case of rent figures are given for 1867 and 1868 for the purposes of Part II,
# chap. vi." Every other block stops at 1866, so those two columns are blank for all
# but the two rent blocks.
#
# Mitchell's note on the source: "The source of the following series of relative
# prices at retail is the report prepared by Mr. J. D. Weeks in 1880-83 and published
# as Vol. XX of the Tenth Census. Not all of the material supplied by Mr. Weeks,
# however, has been used, for he gives some series of prices at unspecified times of
# the year and others 'on or about June 1.' Those series 'showing average for the
# year' alone were used as the basis for the computations in the text, and they alone
# are given here."
#
# initial_price is Mitchell's "Initial Price" column, in the unit named by the unit
# column. Fractions are kept as printed, e.g. "0.08 1/3".
#
# TWO CELLS ARE LEFT BLANK BECAUSE THE PRINTING IS DEFECTIVE, not because the source
# has no figure. Both read as "1 9" or "1 3" with the middle digit missing:
#   Rent, four rooms, Indianapolis, 1865
#   Board per week for men, Philadelphia, 1864
# They are not guessed at. Consult a better copy of page 467 or 468 to fill them.
#
# Re-transcribed 17 September 2026 from the page images.
"Dry goods: tickings, good quality",per yard,Ohio,Canton,.25,100,100,200,400,500,400,300,,
"Dry goods: tickings, good quality",per yard,Ohio,Cincinnati,.225,100,156,167,178,222,333,333,,
"Dry goods: tickings, good quality",per yard,Ohio,Zanesville,.25,100,160,200,220,340,220,148,,
"Dry goods: tickings, good quality",per yard,Ind,Jeffersonville,.25,100,200,200,200,200,200,200,,
"Dry goods: tickings, good quality",per yard,Ind,Lawrenceburg,.25,100,100,160,200,360,300,320,,
"Dry goods: tickings, good quality",per yard,Ind,New Albany,.17,100,118,206,294,441,382,294,,
"Dry goods: tickings, good quality",per yard,Ill,Bloomington,.18,100,139,222,278,500,639,500,,
"Groceries: coffee, Rio, green",per lb,Mass,Boston,0.13,100,108,172,197,319,254,205,,
"Groceries: coffee, Rio, green",per lb,Pa,Philadelphia,.11,,100,118,155,291,318,309,,
"Groceries: coffee, Rio, green",per lb,Md,Baltimore,.16,100,100,150,219,250,219,188,,
"Groceries: coffee, Rio, green",per lb,W. Va,New Cumberland,.12,100,125,150,167,208,208,167,,
"Groceries: coffee, Rio, green",per lb,Ohio,Canton,.16,100,94,125,250,313,250,250,,
"Groceries: coffee, Rio, green",per lb,Ohio,Springfield,.15,100,80,100,100,167,267,333,,
"Groceries: coffee, Rio, green",per lb,Ohio,Zanesville,.15,100,100,100,133,167,167,200,,
"Groceries: coffee, Rio, green",per lb,Ind,Lawrenceburg,.25,100,100,140,140,160,140,160,,
"Groceries: coffee, Rio, green",per lb,Iowa,Cedar Rapids,.08,,100,125,313,438,438,375,,
"Groceries: molasses, New Orleans",per gallon,Pa,Philadelphia,0.40,,100,125,150,175,200,275,,
"Groceries: molasses, New Orleans",per gallon,W. Va,New Cumberland,.40,100,125,188,225,250,225,225,,
"Groceries: molasses, New Orleans",per gallon,Ohio,Canton,.40,100,100,250,375,375,313,250,,
"Groceries: molasses, New Orleans",per gallon,Ohio,Zanesville,.50,100,100,100,150,200,200,250,,
"Groceries: molasses, New Orleans",per gallon,Ind,Lawrenceburg,.60,100,100,100,133,267,250,167,,
"Groceries: molasses, New Orleans",per gallon,Iowa,Cedar Rapids,.50,,100,100,120,160,220,240,,
"Groceries: molasses, Porto Rico",per gallon,Mass,Boston,0.26,,100,123,180,298,245,223,,
"Groceries: molasses, Porto Rico",per gallon,Pa,Philadelphia,.40,,100,100,125,163,200,200,,
"Groceries: molasses, Porto Rico",per gallon,Md,Baltimore,.40,100,88,100,125,250,200,200,,
"Groceries: molasses, Porto Rico",per gallon,W. Va,New Cumberland,.25,100,200,240,320,360,320,360,,
"Groceries: molasses, Porto Rico",per gallon,Ohio,Canton,.35,,100,171,357,357,286,243,,
"Groceries: molasses, Porto Rico",per gallon,Ohio,Springfield,.50,,100,120,150,150,150,160,,
"Groceries: molasses, Porto Rico",per gallon,Ohio,Zanesville,.55,100,109,109,154,218,227,227,,
"Groceries: molasses, Porto Rico",per gallon,Ind,Lawrenceburg,.40,100,125,125,188,250,250,200,,
"Groceries: molasses, Porto Rico",per gallon,Iowa,Cedar Rapids,.30,,100,100,133,133,167,167,,
Groceries: sirup,per gallon,Pa,Philadelphia,0.50,,100,110,110,120,160,180,,
Groceries: sirup,per gallon,Md,Baltimore,.60,100,100,100,117,233,233,167,,
Groceries: sirup,per gallon,W. Va,New Cumberland,.40,100,125,188,250,313,250,250,,
Groceries: sirup,per gallon,Ohio,Springfield,.60,100,125,133,167,208,250,250,,
Groceries: sirup,per gallon,Ohio,Zanesville,.75,100,80,80,120,167,167,200,,
Groceries: sirup,per gallon,Ind,Lawrenceburg,.80,100,94,100,125,125,125,150,,
Groceries: sirup,per gallon,Ia,Cedar Rapids,.50,,100,120,120,140,140,200,,
"Groceries: codfish, dry",per lb,Conn,Jewett City,0.05,100,80,100,130,160,160,160,,
"Groceries: codfish, dry",per lb,Pa,Philadelphia,.04,,100,100,125,150,175,225,,
"Groceries: codfish, dry",per lb,W. Va,New Cumberland,.06,100,133,167,167,167,167,167,,
"Groceries: codfish, dry",per lb,Ohio,Canton,.10,100,100,100,100,100,100,100,,
"Groceries: codfish, dry",per lb,Ohio,Zanesville,.05,100,100,100,140,160,200,200,,
"Groceries: codfish, dry",per lb,Ind,Lawrenceburg,.10,100,100,100,100,120,120,100,,
"Groceries: codfish, dry",per lb,Iowa,Cedar Rapids,.06,,100,117,133,175,208,208,,
"Groceries: sugar, yellow C",per lb,Pa,Philadelphia,0.07,,100,114,143,171,214,229,,
"Groceries: sugar, yellow C",per lb,W. Va,New Cumberland,.07,100,171,200,200,200,200,171,,
"Groceries: sugar, yellow C",per lb,Ohio,Canton,.10,100,80,125,150,250,200,160,,
