# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 2: "Relative Prices of Various Commodities at Wholesale"
# Pages 435-448. Relative prices (index, 1860 average = 100).
#
# Quarterly, January/April/July/October, 1860-1865. 122 series, 2,928 cells, of
# which 36 are printed "...." and left blank.
#
# Mitchell lays the table out in blocks of six columns across fourteen pages, each
# block covering part of the date range; they share one date index and are merged
# here. Column names are commodity plus grade or description, as printed.
#
# TWO COLUMNS ARE NOT QUOTED IN THE HEADING MONTHS. Mitchell prints a month against
# each figure for fish_cod and meat_beef_loins: they are quoted in February, May,
# August and November rather than January, April, July and October. The values sit on
# the row of the quarter they belong to, as in the source, but they are one month
# later than every other column.
#
# Re-transcribed 17 September 2026 from the page images, replacing a version in which
# 35 of the 72 cells on page 446 were wrong. See FINDINGS_TRANSCRIPTION.md.
#
# DERIVED from ../mitchell_appendix_b_table2_wholesale_prices.csv by analysis/03_build_tidy.py. Do not edit.
date,commodity,relative_price
1860-07,powder_rifle,100.0
1860-07,print_cloths_28_inch_64x64_metacomet,100.0
1860-07,print_cloths_28_inch_7_yds_to_lb_standard,100.0
1860-07,putty,100.0
1860-07,quicksilver,113.3
1860-07,quinine,136.4
1860-07,rope_manilla,97.0
1860-07,rope_tarred_american,100.0
1860-07,rubber_para,122.7
1860-07,salt_ashtons,89.7
1860-07,salt_ashtons_liverpool_fine,90.9
1860-07,salt_turks_island,97.5
1860-07,sheetings_brown_4_4_atlantic_a,102.9
1860-07,ship_biscuit,100.0
1860-07,shirtings_bleached_4_4_ny_mills,100.0
1860-07,shovels,100.0
1860-07,silk_raw_italian,105.6
1860-07,soap_castile,117.6
1860-07,soda_ash,94.7
1860-07,spelter_imported,99.0
1860-07,spices_nutmegs,101.2
1860-07,spices_pepper_whole_sumatra,98.5
1860-07,spruce_boards,100.0
1860-07,starch_corn,100.0
1860-07,starch_ontario,100.0
1860-07,starch_pearl,100.0
1860-07,starch_pure,100.0
1860-07,starch_refined,100.0
1860-07,starch_silver_gloss,100.0
1860-07,sugar_fair_refining,91.4
1860-07,sugar_havana_brown,93.0
1860-07,sugar_of_lead_brown,93.3
1860-07,sugar_of_lead_white,95.7
1860-07,sugar_refined_crushed_and_granulated,100.0
1860-07,sulphuric_acid,100.0
1860-07,tallow_prime_city_in_hhds,97.6
1860-07,tickings,100.0
1860-07,tin_plates_ic_coke,101.7
1860-07,tubs_wooden_1,100.0
1860-07,tubs_wooden_2,100.0
1860-07,tubs_wooden_3,96.6
1860-07,tubs_wooden_4,93.3
1860-07,turpentine,100.0
1860-07,vegetables_fresh_potatoes_white_1,128.6
1860-07,vegetables_fresh_potatoes_white_2,112.5
1860-07,window_glass_american_10x14_firsts,100.0
1860-07,window_glass_american_10x14_thirds,100.0
1860-07,window_glass_french_10x14_firsts,100.0
1860-07,window_glass_french_10x14_thirds,100.0
1860-07,wood_screws_1_inch_no_10_flat_head_iron,80.5
1860-07,zinc_imported_sheet,101.8
1860-10,alcohol,85.2
1860-10,alum,100.0
1860-10,beans,120.0
1860-10,bichromate_of_potash,100.0
1860-10,blue_vitriol,94.7
1860-10,bread_boston_crackers_1,100.0
1860-10,bread_boston_crackers_2,100.0
1860-10,bread_boston_crackers_extra_grade,100.0
1860-10,brick,102.8
1860-10,brimstone,128.9
1860-10,butter,95.2
1860-10,butts_loose_joint_cast_3x3_inch,89.5
1860-10,calico,100.0
1860-10,candles,96.3
1860-10,carpets_brussels,92.3
1860-10,carpets_ingrain,98.0
1860-10,carpets_wilton,97.3
1860-10,castor_oil,104.8
1860-10,cement_rosendale,100.0
1860-10,cheese,100.0
1860-10,chestnut_lumber_in_the_log,104.2
1860-10,coal_anthracite_chestnut,107.9
1860-10,coal_anthracite_egg,111.8
1860-10,coal_anthracite_grate,112.2
1860-10,coal_anthracite_stove,102.6
1860-10,coal_bituminous,105.0
1860-10,coffee_rio_fair,121.7
1860-10,copper_ingot,90.4
1860-10,copper_sheet,100.0
1860-10,copperas,125.0
1860-10,cotton_upland_middling,97.7
1860-10,denims,103.5
1860-10,drillings_30_inch_pepperell,100.0
1860-10,eggs,83.2
1860-10,fish_cod,125.0
1860-10,flax_seed,101.2
1860-10,flour_rye,100.0
1860-10,fruit_apples_dried,77.4
1860-10,fruit_currants_zante,79.2
1860-10,fruit_raisins,123.9
1860-10,furniture_chairs_bed_room,80.0
1860-10,furniture_chairs_kitchen,100.0
1860-10,furniture_tables_kitchen,100.0
1860-10,hemlock_lumber_in_the_log,133.3
1860-10,iron_wire,100.0
1860-10,jute,100.0
1860-10,lard,116.7
1860-10,lead_drop_shot,110.6
1860-10,lead_pig,97.8
1860-10,lead_pipe,104.2
1860-10,leather_harness,100.0
1860-10,lime_rockland,125.0
1860-10,linseed_oil,101.8
1860-10,matches,100.0
1860-10,meal_corn_yellow_kiln_dried,92.8
1860-10,meat_beef_loins,94.4
1860-10,meat_beef_ribs,93.3
1860-10,meat_beef_salt_mess,82.6
1860-10,meat_mutton,100.0
1860-10,meat_pork_salt_mess,116.7
1860-10,mercury,100.0
1860-10,molasses_new_orleans_prime,94.3
1860-10,molasses_porto_rico_best,105.3
1860-10,muriatic_acid,100.0
1860-10,opium,104.3
1860-10,oxide_of_zinc,100.0
1860-10,pails_wooden_2_hoops_1,100.0
1860-10,pails_wooden_2_hoops_2,100.0
1860-10,pails_wooden_3_hoops,100.0
1860-10,pine_boards_1_inch,106.4
1860-10,pine_lumber_in_the_log,125.0
1860-10,powder_rifle,100.0
1860-10,print_cloths_28_inch_64x64_metacomet,100.0
1860-10,print_cloths_28_inch_7_yds_to_lb_standard,97.8
1860-10,putty,100.0
1860-10,quicksilver,113.8
1860-10,quinine,159.1
1860-10,rope_manilla,97.0
1860-10,rope_tarred_american,100.0
1860-10,rubber_para,118.2
1860-10,salt_ashtons,82.1
1860-10,salt_ashtons_liverpool_fine,83.1
1860-10,salt_turks_island,100.0
1860-10,sheetings_brown_4_4_atlantic_a,102.9
1860-10,ship_biscuit,100.0
