# Source: Wesley C. Mitchell, "A History of the Greenbacks" (1903)
# Appendix B, Table 4: "Relative Prices of Various Commodities at Retail"
# Pages 451-468. Relative prices (index, base=100).
# Initial prices are in the units specified in the original table (per yard, per lb, per gallon, etc.)
category,item,state,town,initial_price,1860,1861,1862,1863,1864,1865,1866
Groceries,Sugar (Yellow C),Pa.,Philadelphia,0.07,,100,114,143,171,214,229
Groceries,Sugar (Yellow C),W. Va.,New Cumberland,0.07,100,71,200,200,200,171
Groceries,Sugar (Yellow C),Ohio,Canton,0.10,100,80,125,150,250,190,160
Groceries,Sugar (Yellow C),Ohio,Springfield,0.10,100,100,140,150,150,200,250
Groceries,Sugar (Yellow C),Ohio,Zanesville,0.10,100,100,150,150,250,200,200
Groceries,Sugar (Yellow C),Ind.,Lawrenceburg,0.12,100,100,100,100,117,117,117
Groceries,Sugar (Yellow C),Iowa,Cedar Rapids,0.07,,100,129,157,157,200
Groceries,Sugar (Yellow B),Pa.,Philadelphia,0.08,100,113,138,163,200,213
Groceries,Sugar (Yellow B),W. Va.,New Cumberland,0.06,100,167,200,200,200,200
Groceries,Sugar (Yellow B),Ohio,Canton,0.11,100,73,114,145,227,182,136
Groceries,Sugar (Yellow B),Ohio,Zanesville,0.11,100,100,164,200,200,227,227
Groceries,Sugar (Yellow B),Ind.,Lawrenceburg,0.11,100,100,100,100,100,100,109
Groceries,Sugar (Yellow B),Iowa,Cedar Rapids,0.08,,100,125,125,130,146
Groceries,Beans,Mass.,Boston,0.06,100,100,150,167,170,175
Groceries,Beans,Conn.,Jewett City,0.06,100,117,133,167,167,150,133
Groceries,Beans,Pa.,Philadelphia,0.06,100,100,133,167,167,200,233
Groceries,Beans,W. Va.,New Cumberland,0.07,100,143,171,171,171,171
Groceries,Beans,Ohio,Canton,0.05,100,80,100,200,200,200
Groceries,Beans,Ohio,Springfield,0.05,100,100,100,100,160,160,160
Groceries,Beans,Ohio,Zanesville,0.045,100,80,112,138,126,100,100
Groceries,Beans,Ind.,Lawrenceburg,0.10,,100,100,100,100,100,120
Groceries,Beans,Iowa,Cedar Rapids,0.10,,100,100,120,120,125,125
Groceries,Soap (Common),Pa.,Philadelphia,0.06,100,100,117,133,150,167,167
Groceries,Soap (Common),W. Va.,New Cumberland,0.06,100,117,133,133,133,117,117
Groceries,Soap (Common),Ohio,Canton,0.08,100,100,75,125,150,125,113
Groceries,Soap (Common),Ohio,Springfield,0.05,100,100,120,160,100,100,100
Groceries,Soap (Common),Ohio,Zanesville,0.05,100,100,100,120,200,200,200
Groceries,Soap (Common),Ind.,Lawrenceburg,0.12,100,67,83,125,125,125,125
Groceries,Soap (Common),Iowa,Cedar Rapids,0.04,,100,100,100,150,250,375
Groceries,Sugar (Good Brown),Mass.,Boston,0.0611,100,89,133,175,206,225,183
Groceries,Sugar (Good Brown),N.J.,Jersey City,0.08,100,100,113,175,250,225,200
Groceries,Sugar (Good Brown),Pa.,Norristown,0.07,100,100,114,157,314,186,186
Groceries,Sugar (Good Brown),Pa.,Philadelphia,0.06,,100,117,150,183,233,175
Groceries,Sugar (Good Brown),Md.,Baltimore,0.08,100,88,125,150,250,188,175
Groceries,Sugar (Good Brown),W. Va.,New Cumberland,0.06,100,167,200,200,200,200,200
Groceries,Sugar (Good Brown),Ohio,Canton,0.08,100,75,100,150,150,250,225
Groceries,Sugar (Good Brown),Ohio,Springfield,0.09,100,89,91,122,200,200,200
Groceries,Sugar (Good Brown),Ohio,Zanesville,0.08,100,100,125,150,225,245
Groceries,Sugar (Good Brown),Ind.,Lawrenceburg,0.10,100,100,100,100,100,110,110
Groceries,Sugar (Good Brown),Iowa,Cedar Rapids,0.06,,100,133,133,167,167,278
Groceries,Coffee (Rio Roasted),Pa.,Philadelphia,0.16,100,100,113,138,238,281
Groceries,Coffee (Rio Roasted),Md.,Baltimore,0.20,100,100,150,210,210,180
Groceries,Coffee (Rio Roasted),W. Va.,New Cumberland,0.14,100,143,179,179,214,214,179
Groceries,Coffee (Rio Roasted),Ohio,Springfield,0.18,100,100,100,167,167,250,333
Groceries,Coffee (Rio Roasted),Ohio,Zanesville,0.16,100,94,94,113,125,125,156
Groceries,Coffee (Rio Roasted),Ind.,Lawrenceburg,0.20,100,100,133,133,150,125,150
Groceries,Coffee (Rio Roasted),Iowa,Cedar Rapids,0.10,,100,130,200,450,350,350
Groceries,"Tea (Oolong, or other good black)",Pa.,Philadelphia,0.50,,100,100,110,130,250,250
